Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1642480267,FE80::3CA6:F6FF:FE72:3909,0,FF02::16,0,0,152,0,2,0,1642480267258;1642480267568;,76;76;,1;1;
1642480267,FE80::3CA6:F6FF:FE72:3909,0,FF02::2,0,58,56,0,1,0,1642480267258;,56;,1;
1642480267,172.25.0.3,36472,172.21.0.2,5001,6,13664,60,11,1,1642480267986;1642480267986;1642480267986;1642480267986;1642480267986;1642480267986;1642480267986;1642480267986;1642480267986;1642480267986;1642480267986;1642480267986;,60;52;112;1500;1500;1500;1500;1500;1500;1500;1500;1500;,2;1;1;1;1;1;1;1;1;1;1;1;
1642480268,172.25.0.3,36472,172.21.0.2,5001,6,30000,520,20,10,1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;1642480268889;,52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;,2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;
1642480269,172.25.0.3,36472,172.21.0.2,5001,6,60000,676,40,13,1642480269792;1642480269792;1642480269792;1642480269792;1642480269792;1642480269792;1642480269792;1642480269792;1642480269792;1642480269792;1642480269792;1642480269792;1642480269792;1642480269792;1642480269792;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269794;1642480269839;1642480269839;1642480269839;,52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;52;52;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;52;1500;1500;,2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;
1642480270,172.25.0.3,36472,172.21.0.2,5001,6,120000,2028,80,39,1642480270697;1642480270697;1642480270697;1642480270697;1642480270697;1642480270697;1642480270697;1642480270697;1642480270697;1642480270697;1642480270697;1642480270697;1642480270697;1642480270697;1642480270697;1642480270697;1642480270697;1642480270697;1642480270697;1642480270697;1642480270697;1642480270697;1642480270697;1642480270697;1642480270697;1642480270697;1642480270697;1642480270697;1642480270697;1642480270698;1642480270698;1642480270698;1642480270698;1642480270698;1642480270698;1642480270698;1642480270698;1642480270698;1642480270698;1642480270698;1642480270698;1642480270698;1642480270698;1642480270698;1642480270698;1642480270698;1642480270698;1642480270699;1642480270699;1642480270699;1642480270699;1642480270699;1642480270699;1642480270699;1642480270699;1642480270699;1642480270699;1642480270699;1642480270699;1642480270700;1642480270700;1642480270700;1642480270700;1642480270700;1642480270700;1642480270700;1642480270700;1642480270700;1642480270700;1642480270700;1642480270700;1642480270700;1642480270700;1642480270700;1642480270700;1642480270700;1642480270700;1642480270700;1642480270700;1642480270700;1642480270701;1642480270701;1642480270701;1642480270701;1642480270701;1642480270701;1642480270701;1642480270701;1642480270701;1642480270701;1642480270701;1642480270701;1642480270701;1642480270701;1642480270701;1642480270701;1642480270701;1642480270701;1642480270701;1642480270701;1642480270701;1642480270701;1642480270701;1642480270701;1642480270702;1642480270702;1642480270702;1642480270702;1642480270702;1642480270702;1642480270702;1642480270702;1642480270702;1642480270741;1642480270741;1642480270741;1642480270741;1642480270741;1642480270741;,52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;,2;1;1;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;
1642480271,FE80::3CA6:F6FF:FE72:3909,0,FF02::2,0,58,56,0,1,0,1642480271418;,56;,1;
1642480271,172.25.0.3,36472,172.21.0.2,5001,6,240000,4160,160,80,1642480271600;1642480271600;1642480271600;1642480271600;1642480271600;1642480271600;1642480271600;1642480271600;1642480271600;1642480271600;1642480271600;1642480271600;1642480271600;1642480271600;1642480271600;1642480271600;1642480271600;1642480271600;1642480271600;1642480271600;1642480271600;1642480271600;1642480271600;1642480271600;1642480271600;1642480271600;1642480271600;1642480271601;1642480271601;1642480271601;1642480271601;1642480271601;1642480271601;1642480271602;1642480271602;1642480271602;1642480271602;1642480271602;1642480271602;1642480271602;1642480271602;1642480271602;1642480271604;1642480271604;1642480271604;1642480271604;1642480271604;1642480271604;1642480271604;1642480271604;1642480271604;1642480271605;1642480271605;1642480271605;1642480271605;1642480271605;1642480271605;1642480271605;1642480271605;1642480271605;1642480271605;1642480271605;1642480271605;1642480271605;1642480271605;1642480271605;1642480271605;1642480271605;1642480271605;1642480271605;1642480271605;1642480271606;1642480271606;1642480271606;1642480271606;1642480271606;1642480271606;1642480271606;1642480271606;1642480271606;1642480271606;1642480271606;1642480271606;1642480271606;1642480271606;1642480271606;1642480271606;1642480271606;1642480271606;1642480271607;1642480271607;1642480271607;1642480271607;1642480271607;1642480271607;1642480271608;1642480271608;1642480271608;1642480271608;1642480271608;1642480271608;1642480271609;1642480271609;1642480271609;1642480271609;1642480271609;1642480271609;1642480271609;1642480271609;1642480271609;1642480271609;1642480271609;1642480271609;1642480271609;1642480271609;1642480271609;1642480271609;1642480271609;1642480271609;1642480271610;1642480271610;1642480271610;1642480271610;1642480271610;1642480271610;1642480271610;1642480271610;1642480271610;1642480271610;1642480271610;1642480271610;1642480271610;1642480271610;1642480271610;1642480271610;1642480271611;1642480271611;1642480271611;1642480271611;1642480271611;1642480271611;1642480271611;1642480271611;1642480271611;1642480271611;1642480271611;1642480271611;1642480271611;1642480271611;1642480271611;1642480271612;1642480271612;1642480271612;1642480271612;1642480271612;1642480271612;1642480271612;1642480271612;1642480271612;1642480271612;1642480271612;1642480271612;1642480271612;1642480271612;1642480271612;1642480271613;1642480271613;1642480271613;1642480271613;1642480271613;1642480271613;1642480271613;1642480271613;1642480271613;1642480271613;1642480271613;1642480271613;1642480271613;1642480271613;1642480271613;1642480271613;1642480271613;1642480271614;1642480271614;1642480271614;1642480271614;1642480271614;1642480271614;1642480271614;1642480271614;1642480271614;1642480271614;1642480271614;1642480271614;1642480271614;1642480271614;1642480271614;1642480271615;1642480271615;1642480271615;1642480271615;1642480271615;1642480271615;1642480271615;1642480271615;1642480271615;1642480271615;1642480271615;1642480271615;1642480271615;1642480271615;1642480271615;1642480271615;1642480271615;1642480271615;1642480271616;1642480271616;1642480271616;1642480271616;1642480271616;1642480271616;1642480271616;1642480271616;1642480271616;1642480271616;1642480271616;1642480271616;1642480271645;1642480271645;1642480271645;1642480271645;1642480271645;1642480271645;1642480271645;1642480271645;1642480271645;1642480271645;1642480271645;1642480271645;1642480271645;,52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;1500;,2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;1;
1642480272,172.25.0.3,36472,172.21.0.2,5001,6,339000,8704,226,151,1642480272503;1642480272503;1642480272503;1642480272503;1642480272503;1642480272503;1642480272503;1642480272503;1642480272503;1642480272503;1642480272503;1642480272503;1642480272503;1642480272503;1642480272503;1642480272503;1642480272503;1642480272503;1642480272503;1642480272503;1642480272503;1642480272503;1642480272503;1642480272504;1642480272504;1642480272504;1642480272504;1642480272504;1642480272504;1642480272504;1642480272504;1642480272504;1642480272504;1642480272504;1642480272504;1642480272504;1642480272504;1642480272504;1642480272504;1642480272504;1642480272504;1642480272504;1642480272504;1642480272504;1642480272504;1642480272504;1642480272505;1642480272505;1642480272505;1642480272505;1642480272505;1642480272505;1642480272505;1642480272505;1642480272505;1642480272505;1642480272505;1642480272505;1642480272505;1642480272505;1642480272505;1642480272505;1642480272505;1642480272505;1642480272505;1642480272505;1642480272506;1642480272506;1642480272506;1642480272506;1642480272506;1642480272506;1642480272506;1642480272506;1642480272506;1642480272506;1642480272506;1642480272506;1642480272506;1642480272506;1642480272506;1642480272506;1642480272506;1642480272506;1642480272507;1642480272507;1642480272507;1642480272507;1642480272507;1642480272507;1642480272507;1642480272507;1642480272507;1642480272507;1642480272507;1642480272507;1642480272507;1642480272507;1642480272507;1642480272507;1642480272507;1642480272507;1642480272508;1642480272508;1642480272508;1642480272508;1642480272508;1642480272508;1642480272508;1642480272508;1642480272508;1642480272508;1642480272508;1642480272508;1642480272508;1642480272508;1642480272508;1642480272509;1642480272509;1642480272509;1642480272509;1642480272509;1642480272509;1642480272509;1642480272509;1642480272509;1642480272509;1642480272509;1642480272509;1642480272509;1642480272509;1642480272509;1642480272509;1642480272509;1642480272509;1642480272509;1642480272510;1642480272510;1642480272510;1642480272510;1642480272510;1642480272510;1642480272510;1642480272510;1642480272510;1642480272510;1642480272510;1642480272510;1642480272510;1642480272510;1642480272510;1642480272510;1642480272510;1642480272510;1642480272511;1642480272511;1642480272511;1642480272511;1642480272511;1642480272511;1642480272511;1642480272511;1642480272511;1642480272511;1642480272511;1642480272511;1642480272511;1642480272511;1642480272511;1642480272512;1642480272512;1642480272512;1642480272512;1642480272512;1642480272512;1642480272512;1642480272512;1642480272512;1642480272512;1642480272512;1642480272512;1642480272512;1642480272512;1642480272512;1642480272512;1642480272512;1642480272512;1642480272513;1642480272513;1642480272513;1642480272513;1642480272513;1642480272513;1642480272513;1642480272513;1642480272513;1642480272513;1642480272513;1642480272513;1642480272513;1642480272513;1642480272513;1642480272513;1642480272513;1642480272514;1642480272514;1642480272514;1642480272514;1642480272514;1642480272514;1642480272514;1642480272514;1642480272514;1642480272514;1642480272514;1642480272514;1642480272514;1642480272514;1642480272514;1642480272514;1642480272514;1642480272514;1642480272514;1642480272514;1642480272514;1642480272515;1642480272515;1642480272515;1642480272515;1642480272515;1642480272515;1642480272515;1642480272515;1642480272515;1642480272515;1642480272515;1642480272515;1642480272515;1642480272515;1642480272515;1642480272515;1642480272515;1642480272515;1642480272515;1642480272515;1642480272515;1642480272516;1642480272516;1642480272516;1642480272516;1642480272516;1642480272516;1642480272516;1642480272516;1642480272516;1642480272516;1642480272516;1642480272516;1642480272516;1642480272516;1642480272516;1642480272517;1642480272517;1642480272517;1642480272517;1642480272517;1642480272517;1642480272517;1642480272517;1642480272517;1642480272518;1642480272518;1642480272518;1642480272518;1642480272518;1642480272518;1642480272518;1642480272518;1642480272518;1642480272518;1642480272518;1642480272518;1642480272518;1642480272519;1642480272519;1642480272519;1642480272519;1642480272519;1642480272519;1642480272519;1642480272519;1642480272519;1642480272519;1642480272520;1642480272520;1642480272520;1642480272520;1642480272520;1642480272520;1642480272520;1642480272520;1642480272520;1642480272521;1642480272521;1642480272521;1642480272521;1642480272521;1642480272521;1642480272521;1642480272521;1642480272521;1642480272521;1642480272521;1642480272521;1642480272522;1642480272522;1642480272522;1642480272522;1642480272522;1642480272522;1642480272522;1642480272522;1642480272522;1642480272522;1642480272523;1642480272523;1642480272523;1642480272523;1642480272523;1642480272523;1642480272523;1642480272523;1642480272523;1642480272523;1642480272523;1642480272523;1642480272523;1642480272523;1642480272524;1642480272524;1642480272524;1642480272524;1642480272524;1642480272524;1642480272524;1642480272524;1642480272524;1642480272524;1642480272524;1642480272525;1642480272525;1642480272525;1642480272525;1642480272525;1642480272525;1642480272525;1642480272525;1642480272525;1642480272525;1642480272525;1642480272525;1642480272547;1642480272547;1642480272547;1642480272547;1642480272547;1642480272547;1642480272547;1642480272547;1642480272547;1642480272547;1642480272547;1642480272547;1642480272547;1642480272547;1642480272547;1642480272547;,52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;64;1500;1500;64;64;1500;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;1500;64;64;1500;64;1500;,2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;1;1;2;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;2;1;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;1;2;2;1;2;1;
1642480273,172.25.0.3,36472,172.21.0.2,5001,6,273000,10124,182,167,1642480273406;1642480273406;1642480273406;1642480273407;1642480273407;1642480273407;1642480273407;1642480273407;1642480273407;1642480273407;1642480273407;1642480273407;1642480273407;1642480273407;1642480273407;1642480273407;1642480273407;1642480273407;1642480273407;1642480273407;1642480273407;1642480273407;1642480273408;1642480273408;1642480273408;1642480273408;1642480273408;1642480273408;1642480273408;1642480273408;1642480273409;1642480273409;1642480273409;1642480273409;1642480273409;1642480273410;1642480273410;1642480273410;1642480273410;1642480273410;1642480273410;1642480273410;1642480273410;1642480273410;1642480273410;1642480273410;1642480273410;1642480273410;1642480273410;1642480273410;1642480273410;1642480273410;1642480273411;1642480273411;1642480273411;1642480273411;1642480273411;1642480273411;1642480273411;1642480273411;1642480273411;1642480273412;1642480273412;1642480273412;1642480273412;1642480273412;1642480273412;1642480273412;1642480273412;1642480273412;1642480273412;1642480273413;1642480273413;1642480273413;1642480273413;1642480273413;1642480273413;1642480273413;1642480273413;1642480273413;1642480273413;1642480273413;1642480273413;1642480273414;1642480273414;1642480273414;1642480273414;1642480273414;1642480273414;1642480273414;1642480273414;1642480273416;1642480273416;1642480273417;1642480273417;1642480273417;1642480273417;1642480273417;1642480273417;1642480273417;1642480273417;1642480273417;1642480273417;1642480273417;1642480273417;1642480273417;1642480273417;1642480273417;1642480273418;1642480273418;1642480273418;1642480273418;1642480273418;1642480273418;1642480273418;1642480273418;1642480273418;1642480273418;1642480273418;1642480273418;1642480273419;1642480273419;1642480273419;1642480273419;1642480273419;1642480273419;1642480273419;1642480273419;1642480273419;1642480273420;1642480273420;1642480273420;1642480273420;1642480273420;1642480273420;1642480273420;1642480273420;1642480273420;1642480273420;1642480273420;1642480273420;1642480273420;1642480273421;1642480273421;1642480273422;1642480273422;1642480273422;1642480273422;1642480273422;1642480273422;1642480273422;1642480273422;1642480273422;1642480273422;1642480273422;1642480273422;1642480273422;1642480273422;1642480273422;1642480273422;1642480273422;1642480273422;1642480273422;1642480273423;1642480273423;1642480273423;1642480273423;1642480273423;1642480273423;1642480273423;1642480273423;1642480273423;1642480273423;1642480273424;1642480273424;1642480273424;1642480273424;1642480273424;1642480273424;1642480273424;1642480273424;1642480273425;1642480273425;1642480273425;1642480273425;1642480273425;1642480273426;1642480273426;1642480273426;1642480273426;1642480273426;1642480273426;1642480273426;1642480273426;1642480273426;1642480273426;1642480273426;1642480273426;1642480273427;1642480273427;1642480273428;1642480273428;1642480273428;1642480273428;1642480273428;1642480273428;1642480273428;1642480273428;1642480273428;1642480273431;1642480273431;1642480273431;1642480273431;1642480273431;1642480273431;1642480273431;1642480273431;1642480273431;1642480273431;1642480273433;1642480273433;1642480273433;1642480273433;1642480273433;1642480273433;1642480273433;1642480273433;1642480273433;1642480273433;1642480273433;1642480273434;1642480273434;1642480273434;1642480273434;1642480273434;1642480273434;1642480273434;1642480273434;1642480273434;1642480273434;1642480273434;1642480273434;1642480273434;1642480273434;1642480273434;1642480273434;1642480273434;1642480273434;1642480273434;1642480273434;1642480273435;1642480273435;1642480273435;1642480273435;1642480273435;1642480273435;1642480273435;1642480273435;1642480273435;1642480273435;1642480273435;1642480273435;1642480273435;1642480273435;1642480273436;1642480273436;1642480273436;1642480273436;1642480273436;1642480273436;1642480273436;1642480273436;1642480273436;1642480273436;1642480273436;1642480273436;1642480273436;1642480273437;1642480273437;1642480273437;1642480273437;1642480273437;1642480273437;1642480273437;1642480273437;1642480273437;1642480273437;1642480273437;1642480273437;1642480273437;1642480273437;1642480273438;1642480273438;1642480273438;1642480273438;1642480273438;1642480273438;1642480273438;1642480273438;1642480273438;1642480273438;1642480273438;1642480273438;1642480273439;1642480273439;1642480273439;1642480273439;1642480273439;1642480273439;1642480273439;1642480273439;1642480273439;1642480273439;1642480273439;1642480273439;1642480273439;1642480273439;1642480273440;1642480273440;1642480273440;1642480273440;1642480273440;1642480273440;1642480273440;1642480273440;1642480273440;1642480273440;1642480273440;1642480273440;1642480273440;1642480273440;1642480273440;1642480273441;1642480273449;1642480273449;1642480273449;1642480273449;1642480273449;1642480273449;1642480273449;1642480273449;1642480273449;1642480273449;1642480273449;1642480273449;1642480273449;1642480273449;1642480273449;1642480273449;,64;64;1500;64;1500;64;64;1500;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;1500;1500;1500;1500;1500;64;1500;64;1500;1500;1500;1500;1500;1500;1500;1500;64;1500;1500;1500;1500;1500;1500;64;1500;1500;64;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;64;1500;1500;1500;1500;1500;1500;1500;1500;1500;52;1500;1500;1500;1500;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;1500;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;1500;1500;52;52;1500;1500;52;1500;,2;2;1;2;1;2;2;1;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;2;1;1;2;1;1;2;2;1;1;2;2;1;1;2;1;2;1;1;2;2;1;1;2;2;1;1;2;1;1;2;2;1;1;2;2;1;1;2;1;1;2;2;1;1;2;2;1;1;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;1;1;2;2;1;1;2;2;1;1;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;1;1;2;2;1;1;2;1;
