Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1642384702,172.24.0.3,59436,172.20.0.2,5001,6,43664,580,31,11,1642384702448;1642384702448;1642384702448;1642384702448;1642384702448;1642384702448;1642384702448;1642384702448;1642384702448;1642384702448;1642384702448;1642384702448;1642384702851;1642384702851;1642384702851;1642384702851;1642384702851;1642384702851;1642384702851;1642384702851;1642384702851;1642384702851;1642384702851;1642384702851;1642384702851;1642384702851;1642384702851;1642384702851;1642384702851;1642384702851;1642384702851;1642384702852;1642384702852;1642384702852;1642384702852;1642384702852;1642384702852;1642384702852;1642384702852;1642384702852;1642384702852;1642384702852;,60;52;112;1500;1500;1500;1500;1500;1500;1500;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;,2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;
1642384703,172.24.0.3,59436,172.20.0.2,5001,6,63000,1828,42,31,1642384703254;1642384703254;1642384703254;1642384703254;1642384703254;1642384703254;1642384703254;1642384703254;1642384703254;1642384703254;1642384703254;1642384703254;1642384703254;1642384703254;1642384703254;1642384703254;1642384703254;1642384703254;1642384703255;1642384703255;1642384703255;1642384703255;1642384703255;1642384703255;1642384703256;1642384703256;1642384703256;1642384703256;1642384703256;1642384703256;1642384703256;1642384703257;1642384703257;1642384703257;1642384703257;1642384703257;1642384703257;1642384703257;1642384703257;1642384703258;1642384703258;1642384703657;1642384703657;1642384703657;1642384703657;1642384703657;1642384703657;1642384703657;1642384703657;1642384703657;1642384703657;1642384703660;1642384703660;1642384703660;1642384703660;1642384703660;1642384703660;1642384703660;1642384703660;1642384703660;1642384703660;1642384703660;1642384703660;1642384703660;1642384703660;1642384703661;1642384703661;1642384703661;1642384703661;1642384703661;1642384703661;1642384703661;1642384703661;,52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;1500;1500;64;1500;1500;1500;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;52;1500;1500;52;1500;1500;,2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;1;1;2;1;1;1;1;1;2;1;1;2;1;1;2;1;1;2;2;1;1;2;1;1;
1642384704,172.24.0.3,59436,172.20.0.2,5001,6,112500,3224,75,62,1642384704059;1642384704059;1642384704059;1642384704059;1642384704059;1642384704059;1642384704059;1642384704059;1642384704063;1642384704063;1642384704063;1642384704063;1642384704063;1642384704063;1642384704063;1642384704063;1642384704063;1642384704063;1642384704063;1642384704063;1642384704063;1642384704063;1642384704063;1642384704063;1642384704063;1642384704063;1642384704063;1642384704063;1642384704063;1642384704064;1642384704064;1642384704064;1642384704064;1642384704064;1642384704064;1642384704064;1642384704064;1642384704462;1642384704462;1642384704462;1642384704462;1642384704462;1642384704462;1642384704462;1642384704462;1642384704462;1642384704462;1642384704465;1642384704465;1642384704465;1642384704466;1642384704466;1642384704466;1642384704466;1642384704466;1642384704466;1642384704466;1642384704466;1642384704466;1642384704466;1642384704466;1642384704467;1642384704467;1642384704467;1642384704467;1642384704467;1642384704467;1642384704467;1642384704467;1642384704467;1642384704467;1642384704467;1642384704467;1642384704468;1642384704468;1642384704468;1642384704468;1642384704468;1642384704468;1642384704468;1642384704468;1642384704468;1642384704468;1642384704468;1642384704468;1642384704468;1642384704864;1642384704864;1642384704864;1642384704864;1642384704865;1642384704865;1642384704865;1642384704865;1642384704865;1642384704865;1642384704865;1642384704867;1642384704867;1642384704867;1642384704867;1642384704867;1642384704867;1642384704867;1642384704868;1642384704868;1642384704868;1642384704868;1642384704868;1642384704868;1642384704868;1642384704868;1642384704869;1642384704869;1642384704869;1642384704869;1642384704869;1642384704869;1642384704869;1642384704870;1642384704870;1642384704870;1642384704870;1642384704870;1642384704870;1642384704870;1642384704870;1642384704871;1642384704871;1642384704871;1642384704871;1642384704871;1642384704871;1642384704871;1642384704871;1642384704871;1642384704871;,52;1500;52;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;52;1500;1500;52;1500;1500;52;52;1500;1500;52;1500;52;1500;1500;52;1500;52;52;1500;1500;52;52;1500;1500;52;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;1500;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;1500;,2;1;2;1;1;2;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;2;2;1;1;2;1;1;2;2;1;1;2;1;2;1;1;2;1;2;2;1;1;2;2;1;1;2;1;2;2;1;1;2;2;1;1;2;2;1;1;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;1;2;1;1;2;2;1;1;2;2;1;1;2;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;1;
1642384704,FE80::34FD:2DFF:FEB9:FCA9,0,FF02::2,0,58,56,0,1,0,1642384704255;,56;,1;
1642384705,172.24.0.3,59436,172.20.0.2,5001,6,64500,2884,43,49,1642384705268;1642384705268;1642384705268;1642384705268;1642384705268;1642384705268;1642384705268;1642384705268;1642384705268;1642384705268;1642384705268;1642384705268;1642384705268;1642384705268;1642384705268;1642384705269;1642384705270;1642384705270;1642384705270;1642384705270;1642384705270;1642384705270;1642384705270;1642384705270;1642384705270;1642384705270;1642384705270;1642384705270;1642384705270;1642384705270;1642384705270;1642384705271;1642384705271;1642384705271;1642384705271;1642384705271;1642384705271;1642384705271;1642384705271;1642384705272;1642384705272;1642384705272;1642384705272;1642384705272;1642384705272;1642384705272;1642384705273;1642384705273;1642384705273;1642384705671;1642384705671;1642384705672;1642384705672;1642384705672;1642384705672;1642384705673;1642384705673;1642384705673;1642384705673;1642384705673;1642384705673;1642384705673;1642384705673;1642384705674;1642384705674;1642384705674;1642384705675;1642384705675;1642384705675;1642384705675;1642384705675;1642384705675;1642384705675;1642384705677;1642384705677;1642384705677;1642384705677;1642384705677;1642384705677;1642384705677;1642384705677;1642384705677;1642384705677;1642384705678;1642384705678;1642384705678;1642384705678;1642384705678;1642384705678;1642384705678;1642384705678;1642384705678;,52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;64;64;1500;1500;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;64;1500;64;1500;64;1500;64;1500;52;52;1500;1500;52;1500;52;1500;1500;,2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;2;1;2;1;2;1;2;1;2;2;1;1;2;1;2;1;1;
1642384706,172.24.0.3,59436,172.20.0.2,5001,6,100500,3768,67,66,1642384706074;1642384706074;1642384706075;1642384706075;1642384706075;1642384706075;1642384706075;1642384706075;1642384706076;1642384706076;1642384706076;1642384706076;1642384706076;1642384706076;1642384706076;1642384706077;1642384706077;1642384706077;1642384706077;1642384706077;1642384706077;1642384706077;1642384706080;1642384706080;1642384706080;1642384706080;1642384706080;1642384706080;1642384706080;1642384706080;1642384706080;1642384706080;1642384706081;1642384706081;1642384706081;1642384706081;1642384706081;1642384706081;1642384706081;1642384706081;1642384706081;1642384706081;1642384706476;1642384706476;1642384706478;1642384706478;1642384706478;1642384706479;1642384706479;1642384706479;1642384706479;1642384706479;1642384706479;1642384706479;1642384706480;1642384706480;1642384706480;1642384706480;1642384706480;1642384706480;1642384706480;1642384706480;1642384706481;1642384706481;1642384706481;1642384706481;1642384706481;1642384706481;1642384706481;1642384706482;1642384706482;1642384706482;1642384706482;1642384706483;1642384706483;1642384706483;1642384706483;1642384706483;1642384706483;1642384706483;1642384706483;1642384706484;1642384706484;1642384706484;1642384706484;1642384706484;1642384706484;1642384706484;1642384706485;1642384706485;1642384706485;1642384706879;1642384706879;1642384706879;1642384706882;1642384706882;1642384706882;1642384706883;1642384706883;1642384706883;1642384706883;1642384706883;1642384706883;1642384706883;1642384706883;1642384706884;1642384706884;1642384706884;1642384706884;1642384706884;1642384706885;1642384706885;1642384706885;1642384706885;1642384706887;1642384706887;1642384706887;1642384706887;1642384706887;1642384706887;1642384706887;1642384706887;1642384706887;1642384706887;1642384706887;1642384706888;1642384706888;1642384706888;1642384706888;1642384706888;1642384706888;1642384706888;1642384706888;,52;1500;52;1500;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;1500;1500;52;52;1500;1500;52;1500;52;52;1500;1500;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;1500;1500;52;1500;52;1500;52;52;1500;1500;52;52;1500;1500;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;1500;1500;52;52;1500;1500;52;1500;52;64;1500;1500;64;64;1500;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;64;1500;64;64;1500;72;1500;72;72;72;1500;72;1500;72;1500;72;1500;72;1500;72;1500;,2;1;2;1;2;1;1;2;2;1;1;2;2;1;1;2;1;1;2;2;1;1;2;1;2;2;1;1;2;1;1;2;2;1;1;2;2;1;1;2;1;1;2;1;2;1;2;2;1;1;2;2;1;1;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;1;1;2;2;1;1;2;1;2;2;1;1;2;2;1;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;2;1;2;1;2;1;2;1;2;1;2;1;
1642384707,172.24.0.3,59436,172.20.0.2,5001,6,57000,2012,38,35,1642384707282;1642384707282;1642384707285;1642384707285;1642384707285;1642384707285;1642384707285;1642384707285;1642384707286;1642384707286;1642384707286;1642384707286;1642384707286;1642384707286;1642384707286;1642384707286;1642384707287;1642384707287;1642384707287;1642384707287;1642384707289;1642384707289;1642384707289;1642384707290;1642384707290;1642384707290;1642384707290;1642384707290;1642384707290;1642384707290;1642384707290;1642384707290;1642384707290;1642384707290;1642384707290;1642384707290;1642384707684;1642384707684;1642384707684;1642384707688;1642384707688;1642384707688;1642384707688;1642384707688;1642384707688;1642384707688;1642384707689;1642384707689;1642384707689;1642384707689;1642384707689;1642384707689;1642384707689;1642384707689;1642384707689;1642384707689;1642384707689;1642384707692;1642384707692;1642384707692;1642384707692;1642384707692;1642384707692;1642384707692;1642384707692;1642384707692;1642384707692;1642384707692;1642384707693;1642384707693;1642384707693;1642384707693;1642384707693;,72;1500;72;1500;72;1500;64;1500;64;1500;64;1500;64;1500;64;1500;64;1500;64;1500;64;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;1500;52;1500;1500;52;1500;52;52;1500;1500;52;52;1500;1500;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;1500;1500;52;52;1500;1500;64;64;1500;1500;64;1500;,2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;2;1;1;2;2;1;1;2;2;1;1;2;1;2;1;1;2;1;2;2;1;1;2;2;1;1;2;1;1;2;2;1;1;2;2;1;1;2;1;1;2;2;1;1;2;2;1;1;2;1;
1642384708,172.24.0.3,59436,172.20.0.2,5001,6,69000,2824,46,44,1642384708087;1642384708087;1642384708087;1642384708090;1642384708090;1642384708090;1642384708090;1642384708090;1642384708091;1642384708091;1642384708091;1642384708091;1642384708092;1642384708093;1642384708093;1642384708093;1642384708093;1642384708093;1642384708095;1642384708095;1642384708095;1642384708095;1642384708095;1642384708095;1642384708095;1642384708095;1642384708095;1642384708095;1642384708095;1642384708095;1642384708095;1642384708494;1642384708494;1642384708494;1642384708494;1642384708494;1642384708494;1642384708494;1642384708494;1642384708494;1642384708495;1642384708495;1642384708495;1642384708495;1642384708498;1642384708498;1642384708498;1642384708498;1642384708498;1642384708498;1642384708498;1642384708498;1642384708498;1642384708498;1642384708498;1642384708498;1642384708498;1642384708498;1642384708897;1642384708897;1642384708897;1642384708897;1642384708897;1642384708897;1642384708897;1642384708897;1642384708897;1642384708897;1642384708897;1642384708897;1642384708897;1642384708897;1642384708898;1642384708900;1642384708900;1642384708900;1642384708900;1642384708900;1642384708900;1642384708900;1642384708901;1642384708901;1642384708901;1642384708901;1642384708901;1642384708901;1642384708901;1642384708901;1642384708901;1642384708901;,64;1500;64;64;1500;64;1500;64;64;1500;72;1500;72;72;1500;72;1500;72;80;1500;80;1500;80;1500;80;1500;80;1500;72;1500;1500;80;1500;1500;80;1500;80;1500;72;1500;72;1500;72;1500;64;1500;64;1500;64;1500;64;1500;64;1500;52;52;1500;1500;52;1500;52;1500;1500;52;52;1500;1500;52;1500;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;1500;1500;52;52;1500;1500;52;1500;1500;,2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;2;1;2;1;2;1;2;1;2;1;1;2;1;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;2;1;1;2;1;2;1;1;2;2;1;1;2;1;2;1;1;2;2;1;1;2;2;1;1;2;1;1;2;2;1;1;2;1;1;
1642384709,172.24.0.3,59436,172.20.0.2,5001,6,48000,1516,32,28,1642384709300;1642384709300;1642384709300;1642384709300;1642384709300;1642384709300;1642384709300;1642384709300;1642384709300;1642384709300;1642384709300;1642384709301;1642384709301;1642384709301;1642384709301;1642384709301;1642384709301;1642384709301;1642384709302;1642384709302;1642384709302;1642384709302;1642384709302;1642384709303;1642384709303;1642384709303;1642384709303;1642384709303;1642384709303;1642384709303;1642384709304;1642384709304;1642384709304;1642384709304;1642384709304;1642384709304;1642384709703;1642384709703;1642384709703;1642384709703;1642384709703;1642384709703;1642384709704;1642384709704;1642384709704;1642384709705;1642384709705;1642384709705;1642384709705;1642384709705;1642384709705;1642384709707;1642384709707;1642384709707;1642384709707;1642384709707;1642384709707;1642384709707;1642384709707;1642384709708;,52;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;52;1500;1500;52;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;64;1500;1500;64;64;1500;64;1500;64;,2;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;2;1;2;1;2;
1642384710,172.24.0.3,59436,172.20.0.2,5001,6,72000,932,48,17,1642384710108;1642384710108;1642384710108;1642384710108;1642384710108;1642384710108;1642384710108;1642384710108;1642384710108;1642384710108;1642384710110;1642384710110;1642384710110;1642384710110;1642384710110;1642384710111;1642384710111;1642384710511;1642384710511;1642384710511;1642384710511;1642384710511;1642384710511;1642384710511;1642384710511;1642384710511;1642384710511;1642384710511;1642384710511;1642384710511;1642384710511;1642384710511;1642384710511;1642384710512;1642384710512;1642384710512;1642384710512;1642384710512;1642384710512;1642384710512;1642384710512;1642384710914;1642384710914;1642384710914;1642384710914;1642384710914;1642384710914;1642384710914;1642384710914;1642384710915;1642384710915;1642384710915;1642384710915;1642384710915;1642384710915;1642384710915;1642384710915;1642384710917;1642384710917;1642384710917;1642384710917;1642384710917;1642384710917;1642384710917;1642384710917;,64;1500;1500;1500;1500;64;1500;1500;1500;1500;64;1500;64;1500;1500;52;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;,2;1;1;1;1;2;1;1;1;1;2;1;2;1;1;2;1;2;1;1;2;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;
