drop,1642394662.403317,192.168.128.2,5001,192.168.208.3,35546,6
drop,1642394678.034954,192.168.128.2,5001,192.168.208.3,35546,6
drop,1642394694.1105704,192.168.208.3,35546,192.168.128.2,5001,6
drop,1642394702.6365998,192.168.208.3,35546,192.168.128.2,5001,6
drop,1642394719.2206755,192.168.208.3,35546,192.168.128.2,5001,6
drop,1642394725.9916599,192.168.208.3,35546,192.168.128.2,5001,6
drop,1642394732.1438751,192.168.128.2,5001,192.168.208.3,35546,6
drop,1642394735.5281188,192.168.208.3,35546,192.168.128.2,5001,6
drop,1642394735.652033,192.168.208.3,35546,192.168.128.2,5001,6
drop,1642394738.9039667,192.168.128.2,5001,192.168.208.3,35546,6
drop,1642394750.1539876,192.168.128.2,5001,192.168.208.3,35546,6
drop,1642394754.7095509,192.168.128.2,5001,192.168.208.3,35546,6
drop,1642394780.0826483,192.168.208.3,35546,192.168.128.2,5001,6
drop,1642394788.5885153,192.168.208.3,35546,192.168.128.2,5001,6
drop,1642394813.9909527,192.168.208.3,35546,192.168.128.2,5001,6
drop,1642394822.120527,192.168.128.2,5001,192.168.208.3,35546,6
drop,1642394829.356563,192.168.208.3,35546,192.168.128.2,5001,6
drop,1642394833.8968601,192.168.128.2,5001,192.168.208.3,35546,6
drop,1642394834.15402,192.168.208.3,35546,192.168.128.2,5001,6
drop,1642394840.5232348,192.168.208.3,35546,192.168.128.2,5001,6
drop,1642394846.9057543,192.168.128.2,5001,192.168.208.3,35546,6
drop,1642394863.4956272,192.168.208.3,35546,192.168.128.2,5001,6
drop,1642394873.2000804,192.168.128.2,5001,192.168.208.3,35546,6
drop,1642394877.0211678,192.168.208.3,35546,192.168.128.2,5001,6
drop,1642394887.0648744,192.168.208.3,35546,192.168.128.2,5001,6
drop,1642394888.9513402,192.168.208.3,35546,192.168.128.2,5001,6
drop,1642394889.283076,192.168.128.2,5001,192.168.208.3,35546,6
drop,1642394892.6297643,192.168.208.3,35546,192.168.128.2,5001,6
drop,1642394896.1227784,192.168.208.3,35546,192.168.128.2,5001,6
drop,1642394903.8520617,192.168.128.2,5001,192.168.208.3,35546,6
drop,1642394944.0372007,192.168.208.3,35546,192.168.128.2,5001,6
drop,1642394944.3753705,192.168.128.2,5001,192.168.208.3,35546,6
