Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1643519472,172.23.0.3,45164,172.20.0.2,5001,6,13724,60,12,1,1643519472205;1643519472607;1643519472607;1643519472607;1643519472607;1643519472607;1643519472607;1643519472607;1643519472607;1643519472607;1643519472607;1643519472607;1643519472607;,60;60;52;112;1500;1500;1500;1500;1500;1500;1500;1500;1500;,1;2;1;1;1;1;1;1;1;1;1;1;1;
1643519473,172.23.0.3,45164,172.20.0.2,5001,6,210000,3224,140,62,1643519473009;1643519473009;1643519473009;1643519473009;1643519473009;1643519473009;1643519473009;1643519473009;1643519473009;1643519473009;1643519473009;1643519473009;1643519473010;1643519473010;1643519473010;1643519473010;1643519473010;1643519473010;1643519473010;1643519473010;1643519473010;1643519473010;1643519473010;1643519473010;1643519473010;1643519473010;1643519473010;1643519473010;1643519473010;1643519473010;1643519473412;1643519473412;1643519473412;1643519473412;1643519473412;1643519473412;1643519473412;1643519473412;1643519473412;1643519473413;1643519473413;1643519473413;1643519473413;1643519473413;1643519473413;1643519473413;1643519473413;1643519473413;1643519473413;1643519473413;1643519473413;1643519473413;1643519473413;1643519473413;1643519473413;1643519473413;1643519473413;1643519473413;1643519473413;1643519473413;1643519473413;1643519473413;1643519473413;1643519473413;1643519473413;1643519473413;1643519473413;1643519473413;1643519473414;1643519473414;1643519473414;1643519473414;1643519473414;1643519473414;1643519473414;1643519473414;1643519473414;1643519473414;1643519473414;1643519473414;1643519473414;1643519473414;1643519473414;1643519473814;1643519473814;1643519473814;1643519473814;1643519473814;1643519473814;1643519473814;1643519473814;1643519473814;1643519473814;1643519473814;1643519473814;1643519473814;1643519473814;1643519473815;1643519473815;1643519473815;1643519473815;1643519473815;1643519473815;1643519473815;1643519473815;1643519473815;1643519473815;1643519473815;1643519473815;1643519473815;1643519473815;1643519473815;1643519473816;1643519473816;1643519473816;1643519473816;1643519473816;1643519473816;1643519473816;1643519473816;1643519473816;1643519473816;1643519473816;1643519473816;1643519473816;1643519473816;1643519473816;1643519473817;1643519473817;1643519473817;1643519473817;1643519473817;1643519473817;1643519473817;1643519473817;1643519473817;1643519473817;1643519473817;1643519473817;1643519473817;1643519473817;1643519473817;1643519473817;1643519473817;1643519473817;1643519473818;1643519473818;1643519473818;1643519473818;1643519473818;1643519473818;1643519473818;1643519473818;1643519473818;1643519473818;1643519473818;1643519473818;1643519473818;1643519473818;1643519473818;1643519473818;1643519473818;1643519473818;1643519473818;1643519473818;1643519473818;1643519473819;1643519473819;1643519473819;1643519473819;1643519473819;1643519473819;1643519473819;1643519473819;1643519473819;1643519473819;1643519473819;1643519473819;1643519473819;1643519473819;1643519473819;1643519473819;1643519473819;1643519473819;1643519473819;1643519473819;1643519473819;1643519473820;1643519473820;1643519473820;1643519473820;1643519473820;1643519473820;1643519473820;1643519473820;1643519473820;1643519473820;1643519473820;1643519473820;1643519473820;1643519473820;1643519473820;,52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;,2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;
1643519474,172.23.0.3,45164,172.20.0.2,5001,6,720000,12428,480,239,1643519474216;1643519474216;1643519474216;1643519474216;1643519474216;1643519474216;1643519474216;1643519474216;1643519474216;1643519474217;1643519474217;1643519474217;1643519474217;1643519474217;1643519474217;1643519474217;1643519474217;1643519474217;1643519474217;1643519474217;1643519474217;1643519474217;1643519474217;1643519474217;1643519474217;1643519474217;1643519474217;1643519474218;1643519474218;1643519474218;1643519474218;1643519474218;1643519474218;1643519474218;1643519474218;1643519474218;1643519474218;1643519474218;1643519474218;1643519474218;1643519474218;1643519474218;1643519474219;1643519474219;1643519474219;1643519474219;1643519474219;1643519474219;1643519474219;1643519474219;1643519474219;1643519474219;1643519474219;1643519474219;1643519474219;1643519474219;1643519474219;1643519474219;1643519474220;1643519474220;1643519474220;1643519474220;1643519474220;1643519474220;1643519474220;1643519474220;1643519474220;1643519474220;1643519474220;1643519474220;1643519474220;1643519474220;1643519474220;1643519474220;1643519474220;1643519474220;1643519474220;1643519474220;1643519474221;1643519474221;1643519474221;1643519474221;1643519474221;1643519474221;1643519474221;1643519474221;1643519474221;1643519474221;1643519474221;1643519474221;1643519474221;1643519474221;1643519474221;1643519474222;1643519474222;1643519474222;1643519474222;1643519474222;1643519474222;1643519474222;1643519474222;1643519474222;1643519474222;1643519474222;1643519474222;1643519474222;1643519474222;1643519474222;1643519474223;1643519474223;1643519474223;1643519474223;1643519474223;1643519474223;1643519474223;1643519474223;1643519474223;1643519474223;1643519474223;1643519474223;1643519474223;1643519474223;1643519474223;1643519474223;1643519474224;1643519474224;1643519474224;1643519474224;1643519474224;1643519474224;1643519474224;1643519474224;1643519474224;1643519474224;1643519474224;1643519474224;1643519474224;1643519474224;1643519474224;1643519474224;1643519474224;1643519474225;1643519474225;1643519474225;1643519474225;1643519474225;1643519474225;1643519474225;1643519474225;1643519474225;1643519474226;1643519474226;1643519474226;1643519474226;1643519474226;1643519474226;1643519474226;1643519474226;1643519474226;1643519474226;1643519474226;1643519474226;1643519474227;1643519474227;1643519474227;1643519474228;1643519474228;1643519474228;1643519474228;1643519474228;1643519474228;1643519474228;1643519474228;1643519474228;1643519474228;1643519474228;1643519474228;1643519474228;1643519474228;1643519474228;1643519474229;1643519474229;1643519474229;1643519474229;1643519474229;1643519474229;1643519474229;1643519474229;1643519474229;1643519474229;1643519474229;1643519474229;1643519474229;1643519474229;1643519474229;1643519474229;1643519474229;1643519474229;1643519474230;1643519474230;1643519474230;1643519474230;1643519474230;1643519474230;1643519474230;1643519474230;1643519474230;1643519474230;1643519474230;1643519474230;1643519474230;1643519474230;1643519474231;1643519474231;1643519474231;1643519474231;1643519474231;1643519474231;1643519474231;1643519474231;1643519474231;1643519474231;1643519474231;1643519474231;1643519474231;1643519474232;1643519474232;1643519474232;1643519474232;1643519474232;1643519474232;1643519474232;1643519474232;1643519474232;1643519474233;1643519474233;1643519474233;1643519474233;1643519474233;1643519474233;1643519474618;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474619;1643519474620;1643519474620;1643519474620;1643519474620;1643519474620;1643519474620;1643519474620;1643519474620;1643519474620;1643519474620;1643519474620;1643519474620;1643519474620;1643519474620;1643519474620;1643519474620;1643519474621;1643519474621;1643519474621;1643519474621;1643519474621;1643519474621;1643519474621;1643519474621;1643519474621;1643519474621;1643519474621;1643519474621;1643519474621;1643519474621;1643519474621;1643519474621;1643519474621;1643519474621;1643519474622;1643519474622;1643519474622;1643519474622;1643519474622;1643519474622;1643519474622;1643519474622;1643519474622;1643519474622;1643519474622;1643519474622;1643519474622;1643519474622;1643519474622;1643519474622;1643519474622;1643519474622;1643519474623;1643519474623;1643519474623;1643519474623;1643519474623;1643519474623;1643519474623;1643519474623;1643519474623;1643519474623;1643519474623;1643519474623;1643519474624;1643519474624;1643519474624;1643519474624;1643519474624;1643519474624;1643519474624;1643519474625;1643519474625;1643519474625;1643519474626;1643519474626;1643519474626;1643519474626;1643519474626;1643519474626;1643519474626;1643519474626;1643519474626;1643519474627;1643519474627;1643519474627;1643519474627;1643519474627;1643519474627;1643519474627;1643519474627;1643519474627;1643519474627;1643519474627;1643519474627;1643519474627;1643519474627;1643519474627;1643519474628;1643519474628;1643519474628;1643519474628;1643519474628;1643519474628;1643519474628;1643519474628;1643519474628;1643519474629;1643519474629;1643519474629;1643519474629;1643519474629;1643519474629;1643519474629;1643519474629;1643519474629;1643519474629;1643519474629;1643519474629;1643519474630;1643519474630;1643519474630;1643519474630;1643519474630;1643519474630;1643519474630;1643519474630;1643519474630;1643519474630;1643519474630;1643519474630;1643519474631;1643519474631;1643519474631;1643519474631;1643519474631;1643519474631;1643519474631;1643519474631;1643519474631;1643519474631;1643519474631;1643519474632;1643519474632;1643519474632;1643519474632;1643519474632;1643519474632;1643519474632;1643519474632;1643519474632;1643519474632;1643519474632;1643519474632;1643519474632;1643519474632;1643519474632;1643519474633;1643519474633;1643519474633;1643519474633;1643519474633;1643519474633;1643519474633;1643519474633;1643519474633;1643519474633;1643519474634;1643519474634;1643519474634;1643519474634;1643519474634;1643519474634;1643519474634;1643519474634;1643519474634;1643519474634;1643519474634;1643519474634;1643519474634;1643519474634;1643519474635;1643519474635;1643519474635;1643519474635;1643519474635;1643519474635;1643519474635;1643519474635;1643519474635;1643519474636;1643519474636;1643519474636;1643519474636;1643519474636;1643519474636;1643519474636;1643519474636;1643519474636;1643519474637;1643519474637;1643519474637;1643519474637;1643519474637;1643519474637;1643519474637;1643519474637;1643519474637;1643519474637;1643519474637;1643519474637;1643519474637;1643519474637;1643519474637;1643519474637;1643519474638;1643519474638;1643519474638;1643519474638;1643519474638;1643519474638;1643519474638;1643519474638;1643519474638;1643519474638;1643519474638;1643519474638;1643519474639;1643519474639;1643519474639;1643519474639;1643519474639;1643519474639;1643519474639;1643519474639;1643519474639;1643519474639;1643519474639;1643519474639;1643519474639;1643519474639;1643519474639;1643519474640;1643519474640;1643519474640;1643519474640;1643519474640;1643519474640;1643519474640;1643519474640;1643519474640;1643519474640;1643519474640;1643519474640;1643519474640;1643519474640;1643519474640;1643519474640;1643519474640;1643519474640;1643519474641;1643519474641;1643519474641;1643519474641;1643519474641;1643519474641;1643519474641;1643519474641;1643519474641;1643519474641;1643519474641;1643519474641;1643519474641;1643519474641;1643519474641;1643519474641;1643519474641;1643519474641;1643519474641;1643519474641;1643519474642;1643519474642;1643519474642;1643519474642;1643519474642;1643519474642;1643519474642;1643519474642;1643519474642;1643519474642;1643519474642;1643519474642;1643519474642;1643519474642;1643519474642;1643519474642;1643519474642;1643519474642;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474643;1643519474644;1643519474644;1643519474644;1643519474644;1643519474644;1643519474644;1643519474644;1643519474644;1643519474644;1643519474644;1643519474644;1643519474644;1643519474644;1643519474644;1643519474644;1643519474644;1643519474644;1643519474644;1643519474644;1643519474644;1643519474644;1643519474644;1643519474645;1643519474645;1643519474645;1643519474645;1643519474645;1643519474645;1643519474645;1643519474645;1643519474645;1643519474645;1643519474645;1643519474645;1643519474645;1643519474645;1643519474645;1643519474645;1643519474645;1643519474645;1643519474645;1643519474645;1643519474645;1643519474645;1643519474645;1643519474645;1643519474645;1643519474645;1643519474645;1643519474646;1643519474646;1643519474646;1643519474646;1643519474646;1643519474646;1643519474646;1643519474646;1643519474646;1643519474646;1643519474646;1643519474646;1643519474646;1643519474646;1643519474646;1643519474646;1643519474646;1643519474646;1643519474646;1643519474646;1643519474646;1643519474647;1643519474647;1643519474647;1643519474647;1643519474647;1643519474647;1643519474647;1643519474647;1643519474647;1643519474647;1643519474647;1643519474647;1643519474647;1643519474647;1643519474647;1643519474647;1643519474647;1643519474647;1643519474647;1643519474647;1643519474648;1643519474648;1643519474648;1643519474648;1643519474648;1643519474648;1643519474648;1643519474648;1643519474648;1643519474648;1643519474648;1643519474648;1643519474648;1643519474648;1643519474648;1643519474648;1643519474648;1643519474648;1643519474648;1643519474648;1643519474648;1643519474648;1643519474648;1643519474648;1643519474648;1643519474648;1643519474648;1643519474648;,52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;52;1500;1500;1500;1500;52;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;52;1500;1500;52;1500;1500;52;1500;1500;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;52;1500;1500;1500;,2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;2;1;1;1;1;2;2;1;1;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;2;1;1;2;1;1;2;1;1;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;1;
