drop,1643519475.4804897,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519476.027439,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519476.7264414,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519477.0667171,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519477.5122797,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519478.3182707,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519479.6920917,172.20.0.2,5001,172.23.0.3,45164,6
drop,1643519480.2954001,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519480.3192534,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519480.4607918,172.20.0.2,5001,172.23.0.3,45164,6
drop,1643519480.4674883,172.20.0.2,5001,172.23.0.3,45164,6
drop,1643519482.8332713,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519484.5434825,172.20.0.2,5001,172.23.0.3,45164,6
drop,1643519487.3090787,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519491.1586683,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519491.6051135,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519491.8692045,172.20.0.2,5001,172.23.0.3,45164,6
drop,1643519497.014458,172.20.0.2,5001,172.23.0.3,45164,6
drop,1643519497.2776825,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519497.6888192,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519498.4928627,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519500.9415562,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519510.1765213,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519514.7381942,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519522.372034,172.20.0.2,5001,172.23.0.3,45164,6
drop,1643519522.9786057,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519532.6486566,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519533.5247881,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519534.1761136,172.20.0.2,5001,172.23.0.3,45164,6
drop,1643519540.8612819,172.20.0.2,5001,172.23.0.3,45164,6
drop,1643519543.8798413,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519546.9678583,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519550.6510556,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519550.9399734,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519551.3941777,172.20.0.2,5001,172.23.0.3,45164,6
drop,1643519556.3730178,172.20.0.2,5001,172.23.0.3,45164,6
drop,1643519557.326139,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519557.7322514,172.20.0.2,5001,172.23.0.3,45164,6
drop,1643519557.7347589,172.20.0.2,5001,172.23.0.3,45164,6
drop,1643519558.8490548,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519561.6007385,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519564.4587848,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519565.0941525,172.20.0.2,5001,172.23.0.3,45164,6
drop,1643519567.2374802,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519570.9389102,172.23.0.3,45164,172.20.0.2,5001,6
drop,1643519572.951613,172.23.0.3,45164,172.20.0.2,5001,6
